,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3346,ford,32000,hatch,focus,manual,2013,109000,1.6,flex,hidráulica,preto,sim,focus 1.6 s se se plus flex 8v 16v  5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3347,vwvolkswagen,24000,0,up,manual,2015,117000,1,flex,hidráulica,branco,não,up  1.0 total flex 12v 5p,4 portas,de leilão,"air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3348,ford,45990,passeio,fiesta,manual,2018,47000,0,flex,0,0,0,fiesta sel 1.6 16v flex mec. 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
3349,vwvolkswagen,30000,hatch,polo,manual,2013,40000,1.6,flex,hidráulica,cinza,não,polo i motion 1.6 total flex  5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
3350,ford,59990,sedã,focus,automático,2018,13000,0,flex,0,branco,sim,focus fastback se se plus 2.0 flex aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3351,vwvolkswagen,28500,sedã,polo,manual,2013,12345678,1.6,flex,hidráulica,preto,não,polo sed.comfort. i motion 1.6 t.flex 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, sensor de ré",
3352,vwvolkswagen,32900,vanutilitário,saveiro,manual,2017,0,1.6,flex,hidráulica,branco,sim,saveiro 1.6 mi  1.6 mi total flex 8v,2 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3353,vwvolkswagen,34500,hatch,fox,manual,2016,50150,1.6,flex,elétrica,prata,0,fox comfortline 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré",
3354,ford,34000,sedã,0,manual,2014,53000,1.6,flex,elétrica,prata,não,0,4 portas,ipva pago,"vidro elétrico, air bag, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3355,vwvolkswagen,32990,passeio,up,manual,2017,87000,0,flex,0,0,0,up  run 1.0 total flex 12v 5p,4 portas,0,"vidro elétrico, air bag, ar condicionado, direção hidráulica",
3356,vwvolkswagen,25900,sedã,voyage,manual,2013,72000,1,flex,hidráulica,vermelho,sim,voyage  trendline 1.0 t.flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som, sensor de ré",
3357,vwvolkswagen,29900,hatch,fox,automático,2014,57000,1.6,flex,hidráulica,prata,0,fox 1.6 mi i motion total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3358,vwvolkswagen,51000,pickup,saveiro,manual,2015,90525,1.6,flex,hidráulica,vermelho,sim,saveiro cross 1.6 t.flex 16v cd,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3359,ford,41500,suv,ecosport,manual,2014,70050,0,flex,hidráulica,preto,não,ecosport freestyle 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3360,vwvolkswagen,40990,sedã,voyage,manual,2018,45000,1.6,flex,hidráulica,prata,sim,voyage trendline 1.6 t.flex 8v 4p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3361,ford,22499,hatch,fiesta,manual,2014,37998,1,flex,hidráulica,prata,não,fiesta se 1.0 8v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
3362,ford,32900,hatch,ka,manual,2018,68000,1,flex,hidráulica,prata,sim,ka 1.0 se 12v flex 4p manual,4 portas,0,0,0
3363,ford,43900,suv,ecosport,manual,2013,98000,1.6,flex,hidráulica,prata,sim,ecosport freestyle 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
3364,vwvolkswagen,27000,hatch,fox,manual,2014,79600,1,flex,hidráulica,prata,não,fox 1.0 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
3365,vwvolkswagen,28900,hatch,fox,manual,2013,127000,1.6,flex,hidráulica,vermelho,sim,fox plus 1.6mi  1.6mi total flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
